Validator,PT_VERSION,2.12.0
GemmAndBiasTunableOp_float_TN,tn_1152_2688_384_ld_384_384_1152,Default,0.156517
GemmAndBiasTunableOp_float_TN,tn_384_2688_384_ld_384_384_384,Default,0.0631043
GemmAndBiasTunableOp_float_TN,tn_1536_2688_384_ld_384_384_1536,Default,0.203407
GemmAndBiasTunableOp_float_TN,tn_384_2688_1536_ld_1536_1536_384,Default,0.231578
GemmAndBiasTunableOp_float_TN,tn_1152_1344_384_ld_384_384_1152,Default,0.0902365
GemmAndBiasTunableOp_float_TN,tn_384_1344_384_ld_384_384_384,Default,0.0548176
GemmAndBiasTunableOp_float_TN,tn_1536_1344_384_ld_384_384_1536,Default,0.108335
GemmAndBiasTunableOp_float_TN,tn_384_1344_1536_ld_1536_1536_384,Default,0.130841
GemmAndBiasTunableOp_float_TN,tn_768_1344_384_ld_384_384_768,Default,0.0639091
GemmAndBiasTunableOp_float_TN,tn_768_2688_384_ld_384_384_768,Default,0.107902
GemmTunableOp_float_NN,nn_512_32_1_ld_512_1_512,Default,0.0073504
GemmTunableOp_float_TN,tn_16_2048_2048_ld_2048_2048_16,Default,0.0502317
GemmTunableOp_float_TN,tn_2048_2048_16_ld_16_16_2048,Default,0.0276627
GemmTunableOp_float_TN,tn_512_2048_16_ld_16_16_512,Default,0.00879456
GemmStridedBatchedTunableOp_float_TN,tn_512_512_64_B_128_ld_64_64_512,Default,0.355237
GemmStridedBatchedTunableOp_float_NN,nn_64_512_512_B_128_ld_64_512_64,Default,0.308642
GemmTunableOp_float_TN,tn_2048_2048_2_ld_2_2_2048,Default,0.0449261
GemmTunableOp_float_TN,tn_8192_2048_2_ld_2_2_8192,Default,0.238395
GemmTunableOp_float_TN,tn_2048_2048_4_ld_4_4_2048,Default,0.0412394
GemmTunableOp_float_TN,tn_8192_2048_4_ld_4_4_8192,Default,0.246702
GemmTunableOp_float_NN,nn_2048_2048_1_ld_1_1_2048,Default,0.0348701
GemmTunableOp_float_NN,nn_512_2048_1_ld_1_1_512,Default,0.00837632
GemmTunableOp_float_TN,tn_8192_2048_3_ld_3_3_8192,Default,0.237321
GemmTunableOp_float_TN,tn_512_2048_4_ld_4_4_512,Default,0.0141085
GemmTunableOp_float_TN,tn_512_2048_2_ld_2_2_512,Default,0.014168
GemmTunableOp_float_TN,tn_2048_2048_8_ld_8_8_2048,Default,0.0391562
GemmTunableOp_float_TN,tn_512_2048_8_ld_8_8_512,Default,0.0146528
GemmTunableOp_float_TN,tn_2048_2048_9_ld_9_9_2048,Default,0.0442646
GemmTunableOp_float_TN,tn_512_2048_9_ld_9_9_512,Default,0.0141882
GemmTunableOp_float_TN,tn_2048_2048_30_ld_30_30_2048,Default,0.0479165
